Date Time,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
04/09/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",28.13,78.17,56.95,0,0,12.25,0.22,9.57
04/10/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",41.09,69.89,60.69,0,0,11.13,14.54,9.92
04/11/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",36.05,77.99,59.21,0,0,8.02,0,9.96
04/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",59.09,82.85,71.37,0,0,16.09,29.97,9.62
04/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",37.13,70.97,59.02,0.52,29.17,16.34,36.91,8.6
04/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",31.01,45.95,37.05,0.06,8.33,17.17,40.26,9.49
04/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",23.09,56.93,41.88,0,0,6.47,0,10
04/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",44.15,66.83,55.24,0,0,20.15,0.22,10
04/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",34.07,50.99,42.29,0,0,6.49,0,8.66
04/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",29.03,69.89,50.36,0,0,5.15,0,7.35
04/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",43.07,78.89,62.54,0,0,10.99,32.21,10
04/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",53.15,77.99,67.09,0,0,9.33,0,10
04/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",49.01,74.93,65.04,0,4.17,7.41,0,9.66
04/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",39.11,71.15,57.73,0,0,7.03,0,10
04/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",51.17,77.99,65.7,0,0,15.78,29.97,10
04/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",43.07,69.89,59.9,0.82,37.5,10.66,43.62,8.38
04/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",38.03,78.89,61.08,0.07,8.33,7.99,0,9.26
04/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",54.05,76.91,66.35,0.02,12.5,12.57,32.21,10
04/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",60.89,75.11,68.75,0.41,16.67,14.25,40.04,9.44
04/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",49.91,61.97,55.94,0.03,8.33,13.46,32.21,9.48
04/29/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",44.87,49.91,47.03,0.21,37.5,14.28,29.97,9.22
04/30/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",40.91,55.13,48.38,0.02,8.33,14.2,32.21,10
05/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",38.03,58.91,49.72,0,0,11.75,0,10
05/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",34.07,70.97,55.3,0,0,7.57,0,10
05/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",42.17,77.99,63.39,0,0,5.03,0,10
05/04/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",49.01,87.89,70.98,0,0,8.97,0,10
05/05/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",53.15,85.91,70.64,0,0,6.56,0,10
05/06/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",59.99,87.89,75.13,0,0,13.52,15.43,10
05/07/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",70.97,88.97,79.66,0,0,15.47,30.42,10
05/08/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",61.07,81.95,72.7,0.11,8.33,12.71,36.69,10
05/09/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",48.11,71.15,59.12,0.02,8.33,6.97,0,10
05/10/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",50.09,84.83,69.4,0,0,11.69,33.33,10
05/11/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,86.99,78.47,0.03,8.33,19.29,40.26,10
05/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",49.01,76.91,63.53,0.65,33.33,13.54,30.87,9.13
05/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",46.13,63.95,53.94,0.05,8.33,11.73,0,10
05/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",45.05,64.85,55.49,0,0,6.95,0,10
05/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",41.09,62.87,52.95,0,0,11.94,35.57,10
05/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",32.09,59.99,48.53,0,0,5.61,0,10
05/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",35.15,65.93,51.66,0,0,1.91,0,7.74
05/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",38.03,74.93,60.37,0,0,10.17,0,9.4
